datestring,tpa_unemp,daten,tpa_nonfarm,tpa_bp,tpa_tech,tpa_serv,tpa_aveweek_earn,tpa_avehour_earn,tpa_aveweek_hour,tpa_priv,fl_nonfarm
3/1/2016,4.5,1-Mar-16,1287.3,1333,103.6,1154.5,832.13,24.05,34.6,1129.8,8361
4/1/2016,4.4,1-Apr-16,1297.8,1678,104,1163.5,824.55,23.9,34.5,1139.5,8397.5
5/1/2016,4.3,1-May-16,1295.4,1216,103.5,1160.2,840.42,24.36,34.5,1138.3,8386.6
6/1/2016,4.8,1-Jun-16,1280.6,1684,103.2,1144.8,824.84,24.26,34,1134.3,8274
7/1/2016,4.8,1-Jul-16,1281,951,104.1,1144.7,825.22,24.2,34.1,1135.5,8275.1
8/1/2016,4.8,1-Aug-16,1292.1,1323,103.8,1155.6,822.62,24.41,33.7,1138.7,8371.4
9/1/2016,4.7,1-Sep-16,1298.1,1210,103.3,1160.8,813.94,24.01,33.9,1141.4,8408.6
10/1/2016,4.5,1-Oct-16,1310,1907,104.6,1171.6,846.24,24.6,34.4,1150.9,8467.9
11/1/2016,4.4,1-Nov-16,1320.8,1280,105.3,1182.6,834.43,24.47,34.1,1161.4,8567.4
12/1/2016,4.3,1-Dec-16,1324.6,878,105.3,1186,841.32,24.6,34.2,1165.5,8596
1/1/2017,4.7,1-Jan-17,1307.8,1643,104.7,1170.9,856.9,24.91,34.4,1150,8488
2/1/2017,4.3,1-Feb-17,1315.5,943,105.3,1177.3,858.97,24.97,34.4,1155.2,8550.5
3/1/2017,4,1-Mar-17,1320.2,1808,105.3,1181,846.11,24.74,34.2,1160.5,8590.9
4/1/2017,3.8,1-Apr-17,1322.2,1734,105.5,1182.9,868.81,25.11,34.6,1162.8,8593.5
5/1/2017,3.9,1-May-17,1320.3,2149,105.2,1180.6,857.84,25.01,34.3,1162.9,8594.4
6/1/2017,4.2,1-Jun-17,1311.8,1496,105.5,1170.3,853.12,24.8,34.4,1163.3,8492.9
7/1/2017,4.2,1-Jul-17,1305.7,1217,106.3,1164.6,884.16,25.48,34.7,1160.5,8455.5
8/1/2017,4.2,1-Aug-17,1319.5,1465,106.6,1177.4,879.75,25.5,34.5,1166.1,8549.9
9/1/2017,3.8,1-Sep-17,1302.3,1223,105.1,1163.9,874.5,26.42,33.1,1145.7,8390.6
10/1/2017,3.7,1-Oct-17,1333.9,1973,108.1,1191.6,906.5,25.68,35.3,1174.9,8637.1
11/1/2017,3.8,1-Nov-17,1349.3,1027,109.3,1206.8,903.76,25.97,34.8,1190.3,8746.1
12/1/2017,3.7,1-Dec-17,1349.9,1502,109.8,1207.2,922.06,26.42,34.9,1191,8775.1
1/1/2018,4,1-Jan-18,1331.1,1634,109.3,1189.7,900.03,26.24,34.3,1174,8656
2/1/2018,3.7,1-Feb-18,1343.5,1291,110.9,1200.2,914.89,26.29,34.8,1184.2,8736.1
3/1/2018,3.5,1-Mar-18,1348.6,1123,110.8,1204.3,910,26,35,1189.6,8777.2
4/1/2018,3.3,1-Apr-18,1350.5,1597,111,1205.7,936.32,26.6,35.2,1191.5,8780.3
5/1/2018,3.3,1-May-18,1348.4,1709,110.7,1203.8,922.9,26.52,34.8,1191.9,8773.6
6/1/2018,3.8,1-Jun-18,1338.8,1331,110.7,1192.9,931.55,26.54,35.1,1190.8,8676.4
7/1/2018,3.7,1-Jul-18,1333.7,1836,111.4,1187.7,933.66,26.6,35.1,1187.9,8646.2
8/1/2018,3.5,1-Aug-18,1352.4,1662,111.7,1205.8,929.61,26.79,34.7,1198.9,8769.1
9/1/2018,3.2,1-Sep-18,1354.2,1069,111.1,1207.5,940.43,27.18,34.6,1196.9,8780
10/1/2018,3.2,1-Oct-18,1364.9,1591,112.8,1217.6,915.98,27.1,33.8,1205.6,8860.3
11/1/2018,3.2,1-Nov-18,1378.4,1572,113.4,1230.5,908.86,26.81,33.9,1218.2,8964.5
12/1/2018,3.2,1-Dec-18,1380.1,1143,113.8,1231.8,921.4,27.1,34,1220.8,8975.3
1/1/2019,3.9,1-Jan-19,1366.3,2244,113.9,1218.9,924.12,27.18,34,1208.3,8863.2
2/1/2019,3.5,1-Feb-19,1378.3,1929,115.2,1229.8,938.74,27.61,34,1218.2,8941.1
3/1/2019,3.3,1-Mar-19,1380.5,1594,114.7,1231.4,918.61,26.86,34.2,1220.5,8965.4
4/1/2019,2.9,1-Apr-19,1381.7,2117,115.5,1232.9,929.9,27.19,34.2,1222.1,8964.2
5/1/2019,3.1,1-May-19,1382.4,1676,114.6,1232.7,916.27,26.87,34.1,1224.5,8950.3
6/1/2019,3.5,1-Jun-19,1369.9,1708,114.5,1219.8,934.26,27.08,34.5,1220.7,8838.6
7/1/2019,3.4,1-Jul-19,1368.7,1592,115.8,1218.3,917.33,27.06,33.9,1221.5,8821.7
8/1/2019,3.5,1-Aug-19,1383,2248,116.4,1232.2,928.54,27.23,34.1,1228.6,8937
9/1/2019,2.9,1-Sep-19,1385.2,2649,115.7,1233.8,932.96,27.2,34.3,1227.5,8923.1
10/1/2019,2.9,1-Oct-19,1399.2,2481,119.1,1245.9,924.8,27.2,34,1239.6,9010
11/1/2019,2.7,1-Nov-19,1409,1246,118.6,1255.6,928.19,27.14,34.2,1247.8,9088.4
12/1/2019,2.6,1-Dec-19,1412.4,1998,118.6,1258.8,946.21,27.19,34.8,1251.6,9128.3
1/1/2020,3.1,1-Jan-20,1401.5,1466,122.5,1248.8,939.48,27.39,34.3,1242,9050.4
2/1/2020,3,1-Feb-20,1414.5,1774,122.8,1261.2,961.15,27.54,34.9,1251.7,9106.5
